id;firstname;lastname;football_name
603;Aleksander;Radosavljevic;Aleksandar Radosavljevic
851;Samuel Edward;Hutchinson;Sam Hutchinson
887;Slobodan;Rajkovic;Slobodan Rajkovic
911;Marc;Janko;Marc Janko
921;Heiko;Westermann;Heiko Westermann
1017;Robin;van Persie;Robin van Persie
1019;Ryan Guno;Babel;Ryan Babel
1022;Maarten;Stekelenburg;Maarten Stekelenburg
1024;Klaas-Jan;Huntelaar;Klaas-Jan Huntelaar
1026;Ibrahim;Afellay;Ibrahim Afellay
1027;Dirk;Kuijt;Dirk Kuyt
1028;John;Heitinga;Johnny Heitinga
1030;Demy;de Zeeuw;\N
1031;Wilfred;Bouma;Wilfred Bouma
1032;Arjen;Robben;Arjen Robben
1033;Andre;Ooijer;André Ooijer
1113;Colin;Kazim-Richards;Colin Kazim-Richards
1221;Andreas;Isaksson;Andreas Isaksson
1222;Andreas;Granqvist;Andreas Granqvist
1375;Luke;Wilkshire;Luke Wilkshire
1418;Veli;Lampi;Veli Lampi
1422;Mika;Vayrynen;Mika Väyrynen
1464;David;Strihavka;David Strihavka
1479;\N;Marcelo;Marcelo
1480;Royston Ricky;Drenthe;Royston Drenthe
1506;Burak;Yilmaz;Burak Yilmaz
1549;Bojan;Krkic Perez;Bojan Krkic
1587;Niklas Kristian;Moisander;Niklas Moisander
1662;Wilson Brunou;Naval da Costa Eduardo;Wilson Eduardo
1670;Andres Jose;Guardado Hernandez;Andrés Guardado
1706;Rob;van Dijk;\N
1712;Leroy Johan;Fer;Leroy Fer
1715;Ruben;Schaken;Ruben Schaken
1716;Theo;Lucius;\N
1717;Luigi Maud;Bruins;Luigi Bruins
1720;Michal;Janota;Michal Janota
1749;Dani Artola;Fernandez Artola;Dani Fernández
1750;Peter;Wisgerhof;Peter Wisgerhof
1751;Ramon;Zomer;\N
1755;Lorenzo;Davids;Lorenzo Davids
1759;Rutger;Worm;Rutger Worm
1760;Jhonny;van Beukering;Jhonny van Beukering
1827;Tomas;Necid;Tomas Necid
1911;Denis;Halilovic;Denis Halilovic
2431;Quincy;Owusu-Abeyie;\N
2539;Andraz;Kirm;Andraz Kirm
2543;Dalibor;Stevanovic;Dalibor Stevanovic
2625;Denys;Oliynyk;Denys Oliynyk
2973;Anthony Gildas Kofi;Annan;Anthony Annan
2980;Matthew;Amoah;Matthew Amoah
2984;Eric;Addo;Eric Addo
3018;Jacob;Mulenga;Jacob Mulenga
3051;Eyong Tarkang;Enoh;Eyong Enoh
3160;Gili;Vermouth;\N
3167;Eran;Zahavi;Eran Zahavi
3178;Keisuke;Honda;Keisuke Honda
3240;Vitalijs;Maksimenko;Vitalijs Maksimenko
3557;Michel;Vorm;Michel Vorm
3560;Edson Rene;Braafheid;Edson Braafheid
3563;Gregory;van der Wiel;Gregory van der Wiel
3565;Wout;Brama;Wout Brama
3566;David;Mendes da Silva;David Mendes da Silva
3568;Eljero George Rinaldo;Elia;Eljero Elia
3569;Jeremain Marciano;Lens;Jeremain Lens
3573;Francisco Javier;Rodriguez Pinedo;Francisco Rodríguez
3575;Hector Alfredo;Moreno Herrera;Héctor Moreno
3677;Stephan;Maigaard Andersen;Stephan Andersen
3682;Simon;Busk Poulsen;Simon Poulsen
3685;Christian Dannemann;Eriksen;Christian Eriksen
3689;Thomas;Enevoldsen;Thomas Enevoldsen
3701;Ivan;Obradovic;Ivan Obradovic
3716;Tim;Matavz;Tim Matavz
3766;Eduardo;dos Reis Carvalho;Eduardo
3768;Daniel Marciu;Fernandes;Daniel Fernandes
3852;Bradley Scott;Jones;Brad Jones
3864;Brett Trevor;Holman;Brett Holman
3890;Edgar Osvaldo;Barreto Caceres;Édgar Barreto
3909;Marcelo Nicolas;Lodeiro Benitez;Nicolás Lodeiro
3939;Sergio German;Romero;Sergio Romero
3957;Oguchi Chijioke;Onyewu;\N
3972;Josmer Volmy 'Jozy';Altidore;Jozy Altidore
4155;Przemyslaw;Tyton;Przemyslaw Tyton
4157;Pa-Modou;Kah;Pa-Modou Kah
4158;Jimmy;Hempte;Jimmy Hempte
4161;Willem Marco;Janssen;Willem Janssen
4162;Ruud Willem;Vormer;Ruud Vormer
4165;Arnaud Gilles;Djoum;Arnaud Djoum
4166;Nikolay;Borislavov Mihaylov;Nikolay Mihaylov
4167;Dwight;Tiendalli;Dwight Tiendalli
4168;Douglas Franco;Teixeira;Douglas
4170;Emir;Bajrami;Emir Bajrami
4171;Luuk;De Jong;Luuk de Jong
4172;Bryan Jafet;Ruiz Gonzalez;Bryan Ruiz
4173;Nacer;Chadli;Nacer Chadli
4176;Gabor;Babos;Gábor Babos
4177;Rens;van Eijden;Rens van Eijden
4178;Nathaniel;Will;Nathaniel Will
4179;Bram;Nuytinck;Bram Nuytinck
4180;Lasse;Schone;Lasse Schöne
4181;John;Goossens;John Goossens
4182;Niki;Dige Zimling;Niki Zimling
4184;Leroy Martin;Giovanni George;Leroy George
4185;Niels;Wellenberg;\N
4186;Mark;Otten;\N
4187;Caifano;Latupeirissa;Caifano Latupeirissa
4189;Erik;Pieters;Erik Pieters
4190;Stanislav;Manolev;Stanislav Manolev
4191;Jagos;Vukovic;Jagos Vukovic
4192;Balazs;Dzsudzsak;Balázs Dzsudzsák
4193;Bengt Erik Marcus;Berg;Marcus Berg
4194;Nils Ola;Toivonen;Ola Toivonen
4195;Funso-King;Ojo;Funso Ojo
4197;Kenny;Steppe;Kenny Steppe
4198;Michel;Breuer;Michel Breuer
4199;Daryl;Janmaat;Daryl Janmaat
4200;Calvin Ray;Jong-a-Pin;Calvin Jong-A-Pin
4201;Milan;Kopic;Milan Kopic
4202;Christian;Grindheim;Christian Grindheim
4203;Roy Johannes Hendricus;Beerens;Roy Beerens
4204;Bas;Leon Dost;Bas Dost
4205;Filip;Djuricic;Filip Djuricic
4206;Oussama;Assaidi;Oussama Assaidi
4207;Geert-Arend;Roorda;Geert Arend Roorda
4209;Samir;Fazli;Samir Fazli
4211;Vito Nova;Nova Wormgoor;Vito Wormgoor
4212;Jordy;Buijs;Jordy Buijs
4213;Purrel;Frankel;Purrel Fränkel
4214;Geoffry;Hairemans;Geoffry Hairemans
4216;Peter;Jungschlager;Peter Jungschläger
4218;Rydell Romano;Romano Poepon;Rydell Poepon
4219;Hugo Christophe;Bargas;Hugo Bargas
4221;Soufian;Hassnaoui;Soufian El Hassnaoui
4222;Steve Danny Marc;De Ridder;Steve De Ridder
4224;Daan;Bovenberg;\N
4225;Wouter;Gudde;\N
4227;Paddy Miquel;Nelom;Miquel Nelom
4228;Norichio;Nieveld;Norichio Nieveld
4231;Ryan;Koolwijk;Ryan Koolwijk
4232;Tim;Vincken;Tim Vincken
4233;Jerson Anes;Ribeiro;Jerson Ribeiro
4234;Nayib;Lagouireh;Nayib Lagouireh
4235;Andrea;Fileccia;Andrea Fileccia
4237;Ken;Leemans;\N
4238;Michael;Timisela;Michael Timisela
