id;name;short_name
64;Feyenoord;Feyenoord
69;NEC;NEC
155;ADO Den Haag;ADO Den Haag
156;AZ Alkmaar;AZ Alkmaar
157;Ajax;Ajax
158;De Graafschap;De Graafschap
159;Excelsior Rotterdam;Excelsior
160;Groningen;Groningen
161;Twente Enschede FC;Twente
162;Utrecht;Utrecht
164;Heerenveen;Heerenveen
165;Heracles;Heracles
166;NAC Breda;NAC Breda
168;PSV;PSV
169;Roda JC Kerkrade;Roda JC
170;VVV Venlo;VVV Venlo
171;Vitesse;Vitesse
172;Willem II;Willem II
650;RKC Waalwijk;Waalwijk
1163;Eindhoven;Eindhoven
1905;Zwolle;Zwolle
1906;Volendam;Volendam
1907;Den Bosch;Den Bosch
1908;Helmond Sport;Helmond Sport
1909;Sparta Rotterdam;Sparta Rotterdam
1910;Emmen;Emmen
1911;Go Ahead Eagles;Go
1913;TOP Oss;Oss
1914;Telstar;SC Telstar
1916;Cambuur;Cambuur
1917;Dordrecht;Dordrecht
1918;MVV;MVV
1919;Fortuna Sittard;Fortuna Sittard
2817;Almere City;Almere City
2868;Quick Boys;Quick
2869;IJsselmeervogels;IJsselmeervogels
6072;Katwijk;Katwijk
6074;Noordwijk;Noordwijk
6075;Rijnsburgse Boys;Rijnsburgse Boys
6076;Scheveningen;Scheveningen
6080;Spakenburg;Spakenburg
6083;HHC;HHC
6091;AFC Amsterdam;AFC
6098;De Treffers;De Treffers
6410;Ajax Amsterdam U21;Ajax U21
6411;Jong PSV Eindhoven;PSV
7548;Excelsior Maassluis;Excelsior
7757;Kozakken Boys;Kozakken
11074;Jong Utrecht;Utrecht
11941;TEC;TEC vv
13476;HFC;HFC
18132;PSV Eindhoven U21;PSV
24302;AZ Alkmaar U23;AZ Alkmaar
30708;Volendam II;Volendam II
40429;Sparta Rotterdam II;Sparta U21
